0 0
0.0634343 0.0633918
0.126869 0.126529
0.190303 0.189156
0.253737 0.251023
0.317172 0.311881
0.380606 0.371483
0.44404 0.429592
0.507475 0.485972
0.570909 0.540397
0.634343 0.592649
0.697778 0.642516
0.761212 0.6898
0.824646 0.734308
0.888081 0.775862
0.951515 0.814296
1.01495 0.849454
1.07838 0.881195
1.14182 0.909391
1.20525 0.93393
1.26869 0.954711
1.33212 0.971652
1.39556 0.984685
1.45899 0.993756
1.52242 0.99883
1.58586 0.999887
1.64929 0.996921
1.71273 0.989945
1.77616 0.978987
1.8396 0.96409
1.90303 0.945316
1.96646 0.922739
2.0299 0.896451
2.09333 0.866556
2.15677 0.833175
2.2202 0.796443
2.28364 0.756508
2.34707 0.713529
2.41051 0.66768
2.47394 0.619145
2.53737 0.568119
2.60081 0.514809
2.66424 0.459427
2.72768 0.402198
2.79111 0.34335
2.85455 0.283121
2.91798 0.221754
2.98141 0.159494
3.04485 0.0965933
3.10828 0.0333037
3.17172 -0.03012
3.23515 -0.0934224
3.29859 -0.156349
3.36202 -0.218647
3.42545 -0.280065
3.48889 -0.340357
3.55232 -0.399279
3.61576 -0.456596
3.67919 -0.512075
3.74263 -0.565495
3.80606 -0.61664
3.86949 -0.665305
3.93293 -0.711293
3.99636 -0.754421
4.0598 -0.794513
4.12323 -0.83141
4.18667 -0.864962
4.2501 -0.895034
4.31354 -0.921507
4.37697 -0.944272
4.4404 -0.96324
4.50384 -0.978332
4.56727 -0.989489
4.63071 -0.996666
4.69414 -0.999834
4.75758 -0.998979
4.82101 -0.994107
4.88444 -0.985235
4.94788 -0.9724
5.01131 -0.955654
5.07475 -0.935063
5.13818 -0.910712
5.20162 -0.882696
5.26505 -0.85113
5.32848 -0.816141
5.39192 -0.777868
5.45535 -0.736466
5.51879 -0.692102
5.58222 -0.644954
5.64566 -0.595211
5.70909 -0.543075
5.77253 -0.488753
5.83596 -0.432466
5.89939 -0.374439
5.96283 -0.314905
6.02626 -0.254105
6.0897 -0.192283
6.15313 -0.129688
6.21657 -0.0665704
6.28 -0.0031853
